meter_id,time,kWh
MAC000010,2014-01-03T20:30:00Z,0.842
MAC000010,2014-01-03T21:00:00Z,0.946
MAC000010,2014-01-03T21:30:00Z,1.02
MAC000010,2014-01-03T22:00:00Z,0.583
MAC000010,2014-01-03T22:30:00Z,1.08
MAC000010,2014-01-03T23:00:00Z,0.452
MAC000010,2014-01-03T23:30:00Z,0.494
MAC000010,2014-01-04T00:00:00Z,0.494
MAC000010,2014-01-04T00:30:00Z,1.018
MAC000010,2014-01-04T01:00:00Z,0.5
MAC000010,2014-01-04T01:30:00Z,0.259
MAC000010,2014-01-04T02:00:00Z,0.229
MAC000010,2014-01-04T02:30:00Z,0.201
MAC000010,2014-01-04T03:00:00Z,0.182
MAC000010,2014-01-04T03:30:00Z,0.24
MAC000010,2014-01-04T04:00:00Z,0.216
MAC000010,2014-01-04T04:30:00Z,0.188
MAC000010,2014-01-04T05:00:00Z,0.255
MAC000010,2014-01-04T05:30:00Z,0.274
MAC000010,2014-01-04T06:00:00Z,0.223
MAC000010,2014-01-04T06:30:00Z,0.225
MAC000010,2014-01-04T07:00:00Z,0.286
MAC000010,2014-01-04T07:30:00Z,0.258
MAC000010,2014-01-04T08:00:00Z,0.201
MAC000010,2014-01-04T08:30:00Z,0.534
MAC000010,2014-01-04T09:00:00Z,0.389
MAC000010,2014-01-04T09:30:00Z,0.526
MAC000010,2014-01-04T10:00:00Z,0.417
MAC000010,2014-01-04T10:30:00Z,0.605
MAC000010,2014-01-04T11:00:00Z,1.3839999
MAC000010,2014-01-04T11:30:00Z,0.743
MAC000010,2014-01-04T12:00:00Z,0.463
MAC000010,2014-01-04T12:30:00Z,0.485
MAC000010,2014-01-04T13:00:00Z,0.421
MAC000010,2014-01-04T13:30:00Z,0.437
MAC000010,2014-01-04T14:00:00Z,0.465
MAC000010,2014-01-04T14:30:00Z,0.49
MAC000010,2014-01-04T15:00:00Z,0.452
MAC000010,2014-01-04T15:30:00Z,0.567
MAC000010,2014-01-04T16:00:00Z,1.1
MAC000010,2014-01-04T16:30:00Z,1.021
MAC000010,2014-01-04T17:00:00Z,1.625
MAC000010,2014-01-04T17:30:00Z,1.215
MAC000010,2014-01-04T18:00:00Z,1.039
MAC000010,2014-01-04T18:30:00Z,1.8710001
MAC000010,2014-01-04T19:00:00Z,1.928
MAC000010,2014-01-04T19:30:00Z,1.284
MAC000010,2014-01-04T20:00:00Z,0.744
MAC000010,2014-01-04T20:30:00Z,1.011
MAC000010,2014-01-04T21:00:00Z,0.85
MAC000010,2014-01-04T21:30:00Z,0.818
MAC000010,2014-01-04T22:00:00Z,0.909
MAC000010,2014-01-04T22:30:00Z,0.95
MAC000010,2014-01-04T23:00:00Z,0.892
MAC000010,2014-01-04T23:30:00Z,1.22
MAC000010,2014-01-05T00:00:00Z,0.498
MAC000010,2014-01-05T00:30:00Z,0.551
MAC000010,2014-01-05T01:00:00Z,0.295
MAC000010,2014-01-05T01:30:00Z,0.195
MAC000010,2014-01-05T02:00:00Z,0.196
MAC000010,2014-01-05T02:30:00Z,0.251
MAC000010,2014-01-05T03:00:00Z,0.2
MAC000010,2014-01-05T03:30:00Z,0.159
MAC000010,2014-01-05T04:00:00Z,0.173
MAC000010,2014-01-05T04:30:00Z,0.212
MAC000010,2014-01-05T05:00:00Z,0.194
MAC000010,2014-01-05T05:30:00Z,0.186
MAC000010,2014-01-05T06:00:00Z,0.233
MAC000010,2014-01-05T06:30:00Z,0.229
MAC000010,2014-01-05T07:00:00Z,0.187
MAC000010,2014-01-05T07:30:00Z,0.558
MAC000010,2014-01-05T08:00:00Z,0.397
MAC000010,2014-01-05T08:30:00Z,0.41
MAC000010,2014-01-05T09:00:00Z,1.3609999
MAC000010,2014-01-05T09:30:00Z,1.1210001
MAC000010,2014-01-05T10:00:00Z,0.495
MAC000010,2014-01-05T10:30:00Z,0.249
MAC000010,2014-01-05T11:00:00Z,0.245
MAC000010,2014-01-05T11:30:00Z,0.296
MAC000010,2014-01-05T12:00:00Z,0.248
MAC000010,2014-01-05T12:30:00Z,0.209
MAC000010,2014-01-05T13:00:00Z,0.252
MAC000010,2014-01-05T13:30:00Z,0.236
MAC000010,2014-01-05T14:00:00Z,0.191
MAC000010,2014-01-05T14:30:00Z,0.198
MAC000010,2014-01-05T15:00:00Z,0.252
MAC000010,2014-01-05T15:30:00Z,0.21
MAC000010,2014-01-05T16:00:00Z,0.645
MAC000010,2014-01-05T16:30:00Z,1.521
MAC000010,2014-01-05T17:00:00Z,1.257
MAC000010,2014-01-05T17:30:00Z,1.544
MAC000010,2014-01-05T18:00:00Z,1.262
MAC000010,2014-01-05T18:30:00Z,1.836
MAC000010,2014-01-05T19:00:00Z,3.431
MAC000010,2014-01-05T19:30:00Z,1.003
MAC000010,2014-01-05T20:00:00Z,1.16
MAC000010,2014-01-05T20:30:00Z,1.598
MAC000010,2014-01-05T21:00:00Z,0.494
MAC000010,2014-01-05T21:30:00Z,1.017
MAC000010,2014-01-05T22:00:00Z,0.548
MAC000010,2014-01-05T22:30:00Z,0.835
MAC000010,2014-01-05T23:00:00Z,0.495
MAC000010,2014-01-05T23:30:00Z,0.483
MAC000010,2014-01-06T00:00:00Z,0.59
MAC000010,2014-01-06T00:30:00Z,0.237
MAC000010,2014-01-06T01:00:00Z,0.2
MAC000010,2014-01-06T01:30:00Z,0.252
MAC000010,2014-01-06T02:00:00Z,0.21
MAC000010,2014-01-06T02:30:00Z,0.179
MAC000010,2014-01-06T03:00:00Z,0.186
MAC000010,2014-01-06T03:30:00Z,0.216
MAC000010,2014-01-06T04:00:00Z,0.172
MAC000010,2014-01-06T04:30:00Z,0.154
MAC000010,2014-01-06T05:00:00Z,0.225
MAC000010,2014-01-06T05:30:00Z,0.235
MAC000010,2014-01-06T06:00:00Z,0.188
MAC000010,2014-01-06T06:30:00Z,0.202
MAC000010,2014-01-06T07:00:00Z,0.256
MAC000010,2014-01-06T07:30:00Z,0.561
MAC000010,2014-01-06T08:00:00Z,0.373
MAC000010,2014-01-06T08:30:00Z,0.615
MAC000010,2014-01-06T09:00:00Z,0.573
MAC000010,2014-01-06T09:30:00Z,1.261
MAC000010,2014-01-06T10:00:00Z,1.113
MAC000010,2014-01-06T10:30:00Z,0.619
MAC000010,2014-01-06T11:00:00Z,1.217
MAC000010,2014-01-06T11:30:00Z,1.132
MAC000010,2014-01-06T12:00:00Z,0.54
MAC000010,2014-01-06T12:30:00Z,0.635
MAC000010,2014-01-06T13:00:00Z,1.104
MAC000010,2014-01-06T13:30:00Z,0.619
MAC000010,2014-01-06T14:00:00Z,0.846
MAC000010,2014-01-06T14:30:00Z,0.945
MAC000010,2014-01-06T15:00:00Z,0.751
MAC000010,2014-01-06T15:30:00Z,3.1300001
MAC000010,2014-01-06T16:00:00Z,1.369
MAC000010,2014-01-06T16:30:00Z,1.566
MAC000010,2014-01-06T17:00:00Z,0.616
MAC000010,2014-01-06T17:30:00Z,0.604
MAC000010,2014-01-06T18:00:00Z,1.6390001
MAC000010,2014-01-06T18:30:00Z,1.5930001
MAC000010,2014-01-06T19:00:00Z,1.049
MAC000010,2014-01-06T19:30:00Z,2.3640001
MAC000010,2014-01-06T20:00:00Z,0.809
MAC000010,2014-01-06T20:30:00Z,1.024
MAC000010,2014-01-06T21:00:00Z,0.644
MAC000010,2014-01-06T21:30:00Z,0.668
MAC000010,2014-01-06T22:00:00Z,0.495
MAC000010,2014-01-06T22:30:00Z,0.487
MAC000010,2014-01-06T23:00:00Z,0.454
MAC000010,2014-01-06T23:30:00Z,0.529
MAC000010,2014-01-07T00:00:00Z,0.833
MAC000010,2014-01-07T00:30:00Z,0.626
MAC000010,2014-01-07T01:00:00Z,0.772
MAC000010,2014-01-07T01:30:00Z,0.217
MAC000010,2014-01-07T02:00:00Z,0.197
MAC000010,2014-01-07T02:30:00Z,0.244
MAC000010,2014-01-07T03:00:00Z,0.22
MAC000010,2014-01-07T03:30:00Z,0.185
MAC000010,2014-01-07T04:00:00Z,0.152
MAC000010,2014-01-07T04:30:00Z,0.188
MAC000010,2014-01-07T05:00:00Z,0.235
MAC000010,2014-01-07T05:30:00Z,0.218
MAC000010,2014-01-07T06:00:00Z,0.185
MAC000010,2014-01-07T06:30:00Z,0.223
MAC000010,2014-01-07T07:00:00Z,0.244
MAC000010,2014-01-07T07:30:00Z,0.476
MAC000010,2014-01-07T08:00:00Z,0.365
MAC000010,2014-01-07T08:30:00Z,0.422
MAC000010,2014-01-07T09:00:00Z,0.642
MAC000010,2014-01-07T09:30:00Z,0.469
MAC000010,2014-01-07T10:00:00Z,1.0880001
MAC000010,2014-01-07T10:30:00Z,1.051
MAC000010,2014-01-07T11:00:00Z,1.516
MAC000010,2014-01-07T11:30:00Z,0.692
MAC000010,2014-01-07T12:00:00Z,1.444
MAC000010,2014-01-07T12:30:00Z,1.057
MAC000010,2014-01-07T13:00:00Z,0.667
MAC000010,2014-01-07T13:30:00Z,1.689
MAC000010,2014-01-07T14:00:00Z,1.296
MAC000010,2014-01-07T14:30:00Z,0.968
MAC000010,2014-01-07T15:00:00Z,0.831
MAC000010,2014-01-07T15:30:00Z,0.818
MAC000010,2014-01-07T16:00:00Z,0.771
MAC000010,2014-01-07T16:30:00Z,0.816
MAC000010,2014-01-07T17:00:00Z,0.907
MAC000010,2014-01-07T17:30:00Z,1.6720001
MAC000010,2014-01-07T18:00:00Z,1.115
MAC000010,2014-01-07T18:30:00Z,3.2119999
MAC000010,2014-01-07T19:00:00Z,2.197
MAC000010,2014-01-07T19:30:00Z,1.2410001
MAC000010,2014-01-07T20:00:00Z,1.232
MAC000010,2014-01-07T20:30:00Z,0.583
MAC000010,2014-01-07T21:00:00Z,0.566
MAC000010,2014-01-07T21:30:00Z,0.508
MAC000010,2014-01-07T22:00:00Z,0.524
MAC000010,2014-01-07T22:30:00Z,0.694
MAC000010,2014-01-07T23:00:00Z,0.551
MAC000010,2014-01-07T23:30:00Z,0.565
MAC000010,2014-01-08T00:00:00Z,0.942
MAC000010,2014-01-08T00:30:00Z,0.368
MAC000010,2014-01-08T01:00:00Z,0.699
MAC000010,2014-01-08T01:30:00Z,0.146
MAC000010,2014-01-08T02:00:00Z,0.174
MAC000010,2014-01-08T02:30:00Z,0.202
MAC000010,2014-01-08T03:00:00Z,0.138
MAC000010,2014-01-08T03:30:00Z,0.119
MAC000010,2014-01-08T04:00:00Z,0.16
MAC000010,2014-01-08T04:30:00Z,0.173
MAC000010,2014-01-08T05:00:00Z,0.139
MAC000010,2014-01-08T05:30:00Z,0.15
MAC000010,2014-01-08T06:00:00Z,0.206
MAC000010,2014-01-08T06:30:00Z,0.191
MAC000010,2014-01-08T07:00:00Z,0.194
MAC000010,2014-01-08T07:30:00Z,0.551
MAC000010,2014-01-08T08:00:00Z,0.418
MAC000010,2014-01-08T08:30:00Z,1.709
MAC000010,2014-01-08T09:00:00Z,0.918
MAC000010,2014-01-08T09:30:00Z,0.74
MAC000010,2014-01-08T10:00:00Z,1.597
MAC000010,2014-01-08T10:30:00Z,1.452
MAC000010,2014-01-08T11:00:00Z,2.171
MAC000010,2014-01-08T11:30:00Z,1.196
MAC000010,2014-01-08T12:00:00Z,1.036
MAC000010,2014-01-08T12:30:00Z,0.654
MAC000010,2014-01-08T13:00:00Z,0.647
MAC000010,2014-01-08T13:30:00Z,1.454
MAC000010,2014-01-08T14:00:00Z,0.877
MAC000010,2014-01-08T14:30:00Z,0.896
MAC000010,2014-01-08T15:00:00Z,0.798
MAC000010,2014-01-08T15:30:00Z,0.465
MAC000010,2014-01-08T16:00:00Z,0.67
MAC000010,2014-01-08T16:30:00Z,0.897
MAC000010,2014-01-08T17:00:00Z,1.909
MAC000010,2014-01-08T17:30:00Z,1.118
MAC000010,2014-01-08T18:00:00Z,1.307
MAC000010,2014-01-08T18:30:00Z,1.857
MAC000010,2014-01-08T19:00:00Z,2.9590001
MAC000010,2014-01-08T19:30:00Z,1.045
MAC000010,2014-01-08T20:00:00Z,0.81
MAC000010,2014-01-08T20:30:00Z,0.804
MAC000010,2014-01-08T21:00:00Z,1.196
MAC000010,2014-01-08T21:30:00Z,1.302
MAC000010,2014-01-08T22:00:00Z,0.784
MAC000010,2014-01-08T22:30:00Z,1.341
MAC000010,2014-01-08T23:00:00Z,0.99
MAC000010,2014-01-08T23:30:00Z,0.52
MAC000010,2014-01-09T00:00:00Z,0.516
MAC000010,2014-01-09T00:30:00Z,0.608
MAC000010,2014-01-09T01:00:00Z,0.373
MAC000010,2014-01-09T01:30:00Z,0.184
MAC000010,2014-01-09T02:00:00Z,0.18
MAC000010,2014-01-09T02:30:00Z,0.246
MAC000010,2014-01-09T03:00:00Z,0.201
MAC000010,2014-01-09T03:30:00Z,0.156
MAC000010,2014-01-09T04:00:00Z,0.185
MAC000010,2014-01-09T04:30:00Z,0.212
MAC000010,2014-01-09T05:00:00Z,0.196
MAC000010,2014-01-09T05:30:00Z,0.186
MAC000010,2014-01-09T06:00:00Z,0.234
MAC000010,2014-01-09T06:30:00Z,0.251
MAC000010,2014-01-09T07:00:00Z,0.193
MAC000010,2014-01-09T07:30:00Z,0.563
MAC000010,2014-01-09T08:00:00Z,0.414
MAC000010,2014-01-09T08:30:00Z,0.623
MAC000010,2014-01-09T09:00:00Z,0.567
MAC000010,2014-01-09T09:30:00Z,1.1109999
MAC000010,2014-01-09T10:00:00Z,0.911
MAC000010,2014-01-09T10:30:00Z,0.873
MAC000010,2014-01-09T11:00:00Z,0.855
MAC000010,2014-01-09T11:30:00Z,0.934
MAC000010,2014-01-09T12:00:00Z,0.77
MAC000010,2014-01-09T12:30:00Z,0.337
MAC000010,2014-01-09T13:00:00Z,0.385
MAC000010,2014-01-09T13:30:00Z,0.443
MAC000010,2014-01-09T14:00:00Z,1.221
MAC000010,2014-01-09T14:30:00Z,1.0470001
MAC000010,2014-01-09T15:00:00Z,0.784
MAC000010,2014-01-09T15:30:00Z,0.458
MAC000010,2014-01-09T16:00:00Z,0.48
MAC000010,2014-01-09T16:30:00Z,0.482
MAC000010,2014-01-09T17:00:00Z,0.575
MAC000010,2014-01-09T17:30:00Z,0.666
MAC000010,2014-01-09T18:00:00Z,0.562
MAC000010,2014-01-09T18:30:00Z,0.527
MAC000010,2014-01-09T19:00:00Z,2.092
MAC000010,2014-01-09T19:30:00Z,0.928
MAC000010,2014-01-09T20:00:00Z,0.839
MAC000010,2014-01-09T20:30:00Z,0.794
MAC000010,2014-01-09T21:00:00Z,0.841
MAC000010,2014-01-09T21:30:00Z,0.667
MAC000010,2014-01-09T22:00:00Z,0.719
MAC000010,2014-01-09T22:30:00Z,0.8
MAC000010,2014-01-09T23:00:00Z,0.699
MAC000010,2014-01-09T23:30:00Z,1.086
MAC000010,2014-01-10T00:00:00Z,0.686
MAC000010,2014-01-10T00:30:00Z,0.738
MAC000010,2014-01-10T01:00:00Z,0.288
MAC000010,2014-01-10T01:30:00Z,0.217
MAC000010,2014-01-10T02:00:00Z,0.18
MAC000010,2014-01-10T02:30:00Z,0.232
MAC000010,2014-01-10T03:00:00Z,0.205
MAC000010,2014-01-10T03:30:00Z,0.155
MAC000010,2014-01-10T04:00:00Z,0.168
MAC000010,2014-01-10T04:30:00Z,0.213
MAC000010,2014-01-10T05:00:00Z,0.186
MAC000010,2014-01-10T05:30:00Z,0.185
MAC000010,2014-01-10T06:00:00Z,0.233
MAC000010,2014-01-10T06:30:00Z,0.222
MAC000010,2014-01-10T07:00:00Z,0.185
MAC000010,2014-01-10T07:30:00Z,0.58
MAC000010,2014-01-10T08:00:00Z,0.423
MAC000010,2014-01-10T08:30:00Z,0.413
MAC000010,2014-01-10T09:00:00Z,0.663
MAC000010,2014-01-10T09:30:00Z,0.46
MAC000010,2014-01-10T10:00:00Z,1.358
MAC000010,2014-01-10T10:30:00Z,0.397
MAC000010,2014-01-10T11:00:00Z,0.494
MAC000010,2014-01-10T11:30:00Z,0.842
MAC000010,2014-01-10T12:00:00Z,1.102
MAC000010,2014-01-10T12:30:00Z,2.8559999
MAC000010,2014-01-10T13:00:00Z,1.24
MAC000010,2014-01-10T13:30:00Z,0.64
MAC000010,2014-01-10T14:00:00Z,0.599
MAC000010,2014-01-10T14:30:00Z,0.826
MAC000010,2014-01-10T15:00:00Z,0.673
MAC000010,2014-01-10T15:30:00Z,0.587
MAC000010,2014-01-10T16:00:00Z,0.574
MAC000010,2014-01-10T16:30:00Z,1.457
MAC000010,2014-01-10T17:00:00Z,1.73
MAC000010,2014-01-10T17:30:00Z,1.553
MAC000010,2014-01-10T18:00:00Z,2.2509999
MAC000010,2014-01-10T18:30:00Z,2.401
MAC000010,2014-01-10T19:00:00Z,2.6010001
MAC000010,2014-01-10T19:30:00Z,1.301
MAC000010,2014-01-10T20:00:00Z,0.947
MAC000010,2014-01-10T20:30:00Z,2.0179999
MAC000010,2014-01-10T21:00:00Z,1.0779999
MAC000010,2014-01-10T21:30:00Z,0.869
MAC000010,2014-01-10T22:00:00Z,0.886
MAC000010,2014-01-10T22:30:00Z,0.747
MAC000010,2014-01-10T23:00:00Z,0.674
MAC000010,2014-01-10T23:30:00Z,0.607
MAC000010,2014-01-11T00:00:00Z,0.567
MAC000010,2014-01-11T00:30:00Z,0.612
MAC000010,2014-01-11T01:00:00Z,0.262
MAC000010,2014-01-11T01:30:00Z,0.217
MAC000010,2014-01-11T02:00:00Z,0.182
MAC000010,2014-01-11T02:30:00Z,0.216
MAC000010,2014-01-11T03:00:00Z,0.219
MAC000010,2014-01-11T03:30:00Z,0.162
MAC000010,2014-01-11T04:00:00Z,0.151
MAC000010,2014-01-11T04:30:00Z,0.204
MAC000010,2014-01-11T05:00:00Z,0.223
MAC000010,2014-01-11T05:30:00Z,0.186
MAC000010,2014-01-11T06:00:00Z,0.2
MAC000010,2014-01-11T06:30:00Z,0.245
MAC000010,2014-01-11T07:00:00Z,0.204
MAC000010,2014-01-11T07:30:00Z,0.188
MAC000010,2014-01-11T08:00:00Z,0.535
MAC000010,2014-01-11T08:30:00Z,0.346
MAC000010,2014-01-11T09:00:00Z,0.331
MAC000010,2014-01-11T09:30:00Z,0.674
MAC000010,2014-01-11T10:00:00Z,1.99
MAC000010,2014-01-11T10:30:00Z,1.506
MAC000010,2014-01-11T11:00:00Z,0.982
MAC000010,2014-01-11T11:30:00Z,0.995
MAC000010,2014-01-11T12:00:00Z,1.143
MAC000010,2014-01-11T12:30:00Z,1.044
MAC000010,2014-01-11T13:00:00Z,0.532
MAC000010,2014-01-11T13:30:00Z,0.498
MAC000010,2014-01-11T14:00:00Z,0.554
MAC000010,2014-01-11T14:30:00Z,0.542
MAC000010,2014-01-11T15:00:00Z,0.486
MAC000010,2014-01-11T15:30:00Z,1.452
MAC000010,2014-01-11T16:00:00Z,1.709
MAC000010,2014-01-11T16:30:00Z,1.1109999
MAC000010,2014-01-11T17:00:00Z,0.977
MAC000010,2014-01-11T17:30:00Z,0.702
MAC000010,2014-01-11T18:00:00Z,0.871
MAC000010,2014-01-11T18:30:00Z,1.306
MAC000010,2014-01-11T19:00:00Z,2.7030001
MAC000010,2014-01-11T19:30:00Z,0.997
MAC000010,2014-01-11T20:00:00Z,1.313
MAC000010,2014-01-11T20:30:00Z,1.541
MAC000010,2014-01-11T21:00:00Z,0.979
MAC000010,2014-01-11T21:30:00Z,1.411
MAC000010,2014-01-11T22:00:00Z,0.807
MAC000010,2014-01-11T22:30:00Z,0.832
MAC000010,2014-01-11T23:00:00Z,0.727
MAC000010,2014-01-11T23:30:00Z,0.662
MAC000010,2014-01-12T00:00:00Z,0.56
MAC000010,2014-01-12T00:30:00Z,0.25
MAC000010,2014-01-12T01:00:00Z,0.186
MAC000010,2014-01-12T01:30:00Z,0.234
MAC000010,2014-01-12T02:00:00Z,0.223
MAC000010,2014-01-12T02:30:00Z,0.183
MAC000010,2014-01-12T03:00:00Z,0.178
MAC000010,2014-01-12T03:30:00Z,0.216
MAC000010,2014-01-12T04:00:00Z,0.164
MAC000010,2014-01-12T04:30:00Z,0.152
MAC000010,2014-01-12T05:00:00Z,0.233
MAC000010,2014-01-12T05:30:00Z,0.216
MAC000010,2014-01-12T06:00:00Z,0.193
MAC000010,2014-01-12T06:30:00Z,0.212
MAC000010,2014-01-12T07:00:00Z,0.238
MAC000010,2014-01-12T07:30:00Z,0.182
MAC000010,2014-01-12T08:00:00Z,0.184
MAC000010,2014-01-12T08:30:00Z,0.464
MAC000010,2014-01-12T09:00:00Z,0.445
MAC000010,2014-01-12T09:30:00Z,0.355
MAC000010,2014-01-12T10:00:00Z,0.523
MAC000010,2014-01-12T10:30:00Z,1.155
MAC000010,2014-01-12T11:00:00Z,1.102
MAC000010,2014-01-12T11:30:00Z,0.969
MAC000010,2014-01-12T12:00:00Z,0.973
MAC000010,2014-01-12T12:30:00Z,0.907
MAC000010,2014-01-12T13:00:00Z,0.681
MAC000010,2014-01-12T13:30:00Z,2.0439999
